Input Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Pearson Correlation	RMSE
8DCIS	0.17583311711156932	0.11291463273607977	0.014830319288263541	0.05485753098521059	0	0.18114989644955473	0.022891620937081896	0.08770831523570777	0	0	0.05027226164923162	0	0.027407868509229976	0.012455746964393097	0.015678394547687942	0.04087838679226063	0.07880114432651154	0.02471648945627821	0.09960427501093946	0	0	0	0	0.43814221938536996	0.8980816022203029
8IDC	0.07909297598876067	0	0.03097934581213272	0.09161345812067428	0	0.07529510045756582	0.06744265356324312	0.1065299942735413	0	0	0.036323187000352156	0	0.05237633515437909	0.049356151227004055	0.044819894877582304	0.1392629044597314	0.003913042067058123	0.011785732462800581	0.21120922453517424	0	0	0	0.06	0.16813098827739778	1.006878940232308
9DCIS	0.08128150674090534	0.09989746726458423	0.11758530475397731	0	0	0.1584780889753958	0.02359464898046743	0	0	0	0.04307969412019434	0	0	0.015728882846210233	0	0.26830020252375353	0	0.06606817329768114	0	0.1037692146723491	0.022216815824481567	0	0	0.34564984090811224	0.9421789173736984
9IDC	0.01280556024235168	0.10228110411232964	0.07130547236644971	0.03709734109226353	0.020157772375638715	0.09754620532813067	0	0.05608501335278671	0	0	0.05494006578076226	0	0.022469482946711746	0.06992564704376311	0.005706197663909165	0.2085604789314157	0	0.010506872868392077	0.2306127858950953	0	0	0	0.01	0.2827487835007077	0.9665933150295427
2IDC	0.07265268813763782	0	0.1135061192090616	0.020617820455171493	0	0.26770135238650883	0.01969528192596409	0	0	0	0.06348940830555394	0	0.01960124888310477	0.08634140866194806	0.03865719990649392	0.16880245186897172	0.04424443774174193	0	0.08469058251784184	0	0	0	0.06	0.17636370465341142	1.008397521133543
3IDC	0	0.15271986732167067	0.16035434170829943	0.06636003645438038	0	0.24897544926964507	0	0	0	0	0.03539227280130177	0	0.013601198680598975	0.015097843188782427	0	0.11185417475717982	0.0315852595589086	0	0.16405955625923288	0	0	0	0	0.42964622718020906	0.9033438567291301
8DCISS	0.026433441751495222	0.06983757284000842	0	0.054076966909947774	0.06817131605211804	0	0.06167550394745754	0	0	0	0.08197533535756288	0	0.010579309953388738	0	0	0.5230309424736908	0	0.010066029670649831	0.08420450386657488	0	0.009949077177105919	0	0.09	0.11693574976199272	1.0415634831210057
8IDCS	0.04099586863901863	0.09763849363299601	0.029554720575367847	0.07959148154505909	0	0	0.06451323538861327	0.0931829908938377	0	0.0810254839835007	0	0	0	0	0.05271391983786777	0.41456416505966653	0	0	0.04621964044407238	0	0	0	0.03	0.251473965295335	0.9799614011106478
9DCISS	0.03375955261924255	0.01859494634932567	0.14157474837455164	0	0.004878240003897811	0.20482172438780047	0	0.058234965594035744	0	0	0.03389947986245972	0	0.028326379402822364	0.06077293251667076	0.0005	0.3377071503208029	0	0.0002	0	0.058986036110868924	0	0.01780514138505965	0.01	0.27266058151280914	0.9752925485782508
9IDCS	0.033039680331879935	0.09844679679882927	0.15094885763371302	0.020108438330438527	0.0865416832400592	0.03609062295833382	0.015663523818793445	0.020621466057029636	0	0	0.050286311455807295	0	0.015878169961002806	0	0	0.2523179725749758	0.0019049393246128629	0	0.21815153751452435	0	0	0	0	0.37866611129221056	0.9281207335086002
