cell_type,8DCIS,9DCIS,8IDC,9IDC,2IDC,3IDC
B cell_TIMER,0.116984507,0.095205424,0.096918286,0.097792214,0.100495847,0.094270567
T cell CD4+_TIMER,0.136106014,0.111188139,0.120670089,0.111012357,0.104931749,0.11046893
T cell CD8+_TIMER,0.215585374,0.218037754,0.225856818,0.217388776,0.214759029,0.217672961
Neutrophil_TIMER,0.128694387,0.126009407,0.127049273,0.120900812,0.120203032,0.117649026
Macrophage_TIMER,0.063014375,0.056846672,0.067314752,0.062579206,0.055782968,0.053033463
Myeloid dendritic cell_TIMER,0.499681405,0.494340369,0.498762538,0.494116316,0.501452624,0.510646809
B cell_CIBERSORT,0.300679674,0.286660212,0.10964073,0.186092335,0.187388003,0.307327947
B cell naive_CIBERSORT,0.177850682,0.079334555,0.078993162,0.01703451,0.073598863,0
B cell memory_CIBERSORT,0.10934332,0.092017727,0,0.097291853,0,0.157766733
B cell plasma_CIBERSORT,0.013485672,0.11530793,0.030647568,0.071765972,0.11378914,0.149561214
T cell CD8+_CIBERSORT,0.054622958,0,0.099285927,0.038914332,0.020633579,0.060453932
T cell CD4+_CIBERSORT,0.293041305,0.184686599,0.258595074,0.170781426,0.288662966,0.259077163
T cell CD4+ naive_CIBERSORT,0,0,0,0.021393539,0,0
T cell CD4+ memory resting_CIBERSORT,0.181973036,0.165024746,0.08713001,0.092424609,0.268791899,0.259077163
T cell CD4+ memory activated_CIBERSORT,0.022925058,0.019661853,0.072183892,0,0.019871067,0
T cell follicular helper_CIBERSORT,0.08814321,0,0.099281172,0.056963278,0,0
T cell regulatory (Tregs)_CIBERSORT,0,0,0,0,0,0
T cell gamma delta_CIBERSORT,0,0,0,0,0,0
NK cell_CIBERSORT,0.053100728,0.024599617,0.043321455,0.050035167,0.063035247,0.03667642
NK cell resting_CIBERSORT,0.053100728,0.024599617,0.043321455,0.050035167,0.063035247,0.03667642
NK cell activated_CIBERSORT,0,0,0,0,0,0
Monocyte_CIBERSORT,0.02789129,0,0.047155775,0.021464059,0.019540196,0.013058686
Macrophage_CIBERSORT,0.06835109,0.323003902,0.220395618,0.291179368,0.292724673,0.129757211
Macrophage M0_CIBERSORT,0.012175281,0.063333028,0.046780605,0.084200632,0.086792111,0.018858878
Macrophage M1_CIBERSORT,0.01617779,0,0.043337359,0.007352616,0.039371656,0
Macrophage M2_CIBERSORT,0.039998019,0.259670874,0.130277653,0.199626121,0.166560907,0.110898333
Myeloid dendritic cell_CIBERSORT,0.102860161,0.061880504,0.01446934,0.009914341,0.043587153,0.029806426
Myeloid dendritic cell resting_CIBERSORT,0.07900249,0,0.003316672,0,0.043587153,0.028453148
Myeloid dendritic cell activated_CIBERSORT,0.02385767,0.061880504,0.011152668,0.009914341,0,0.001353278
Mast cell_CIBERSORT,0.099452796,0.100343138,0.207136082,0.231618972,0.084428182,0.163842215
Mast cell activated_CIBERSORT,0.099452796,0,0.207136082,0.231618972,0.084428182,0.163842215
Mast cell resting_CIBERSORT,0,0.100343138,0,0,0,0
Eosinophil_CIBERSORT,0,0.018826027,0,0,0,0
Neutrophil_CIBERSORT,0,0,0,0,0,0
B cell_CIBERSORT-ABS,0.777019578,0.245924287,0.245826058,0.214495902,0.177525476,0.310562978
B cell naive_CIBERSORT-ABS,0.459603604,0.068060697,0.177110984,0.019634514,0.069725239,0
B cell memory_CIBERSORT-ABS,0.282566158,0.078941524,0,0.112141662,0,0.159427435
B cell plasma_CIBERSORT-ABS,0.034849815,0.098922066,0.068715074,0.082719726,0.107800238,0.151135543
T cell CD8+_CIBERSORT-ABS,0.141157222,0,0.222609499,0.044853888,0.019547601,0.06109029
T cell CD4+_CIBERSORT-ABS,0.757280424,0.158441661,0.579797376,0.196848065,0.273470179,0.261804291
T cell CD4+ naive_CIBERSORT-ABS,0,0,0,0.024658869,0,0
T cell CD4+ memory resting_CIBERSORT-ABS,0.470256635,0.141573861,0.195354653,0.106531523,0.254644957,0.261804291
T cell CD4+ memory activated_CIBERSORT-ABS,0.059243177,0.0168678,0.161843884,0,0.018825222,0
T cell follicular helper_CIBERSORT-ABS,0.227780612,0,0.222598839,0.065657673,0,0
T cell regulatory (Tregs)_CIBERSORT-ABS,0,0,0,0,0,0
T cell gamma delta_CIBERSORT-ABS,0,0,0,0,0,0
NK cell _CIBERSORT-ABS,0.13722346,0.021103882,0.097131262,0.057672113,0.059717602,0.037062487
NK cell resting_CIBERSORT-ABS,0.13722346,0.021103882,0.097131262,0.057672113,0.059717602,0.037062487
NK cell activated_CIBERSORT-ABS,0,0,0,0,0,0
Monocyte_CIBERSORT-ABS,0.072076965,0,0.105728211,0.024740152,0.018511764,0.013196146
Macrophage_CIBERSORT-ABS,0.176633605,0.277103347,0.494150175,0.335622535,0.277318112,0.131123077
Macrophage M0_CIBERSORT-ABS,0.031463489,0.054333071,0.104887041,0.097052307,0.082224105,0.019057392
Macrophage M1_CIBERSORT-ABS,0.041806814,0,0.097166922,0.008474857,0.037299463,0
Macrophage M2_CIBERSORT-ABS,0.103363302,0.222770276,0.292096212,0.230095371,0.157794543,0.112065684
Myeloid dendritic cell_CIBERSORT-ABS,0.265812311,0.053086959,0.032441782,0.011427583,0.041293093,0.030120177
Myeloid dendritic cell resting_CIBERSORT-ABS,0.204159067,0,0.007436327,0,0.041293093,0.028752655
Myeloid dendritic cell activated_CIBERSORT-ABS,0.061653243,0.053086959,0.025005456,0.011427583,0,0.001367523
Mast cell_CIBERSORT-ABS,0.257006962,0.08608385,0.464420899,0.266971342,0.079984594,0.16556687
Mast cell activated_CIBERSORT-ABS,0.257006962,0,0.464420899,0.266971342,0.079984594,0.16556687
Mast cell resting_CIBERSORT-ABS,0,0.08608385,0,0,0,0
