Activated,Inhibitory,Cytotoxic,Exhausted,Naive,Activation,Dysfunction
CD28,PDCD1,NKG7,PDCD1,LEF1,PUF60,RELB
ICOS,CTLA4,CCL4,TIGIT,SELL,SLBP,PIM3
TNFRSF9,HAVCR2,CST7,LAG3,IL7R,KPNB1,FAM168B
TNFRSF4,LAG3,PRF1,HAVCR2,IL2RG,COMMD10,GATA3
CD27,BTLA,GZMB,CTLA4,,LAMTOR1,B3GNT2
,TIGIT,GZMA,BTLA,,CDCA7L,FOXO1
,KIR3DL1,IFNG,CD160,,ANAPC15,SEC24B
,KIR3DL2,CCL3,CD244,,COMMD3,BRAP
,KIR2DL4,,,,ABHD10,ATP6V0D1
,KIR2DS4,,,,DPCD,GPR132
,CD160,,,,NEU3,CD74
,CD244,,,,AAR2,RARA
,,,,,SLC35A1,BCL6
,,,,,GIMAP7,IL2RG
,,,,,SLC9A8,IER5
,,,,,TYK2,CD5
,,,,,MAVS,TNIP1
,,,,,POFUT2,CSNK1D
,,,,,VPS53,NR4A1
,,,,,DNAAF2,PNRC1
,,,,,EHBP1L1,GNA13
,,,,,LSM4,CCR7
,,,,,EIF4E2,QRICH1
,,,,,GPAA1,EML4
,,,,,ANAPC5,FRRS1
,,,,,DYNC1LI1,SLC28A2
,,,,,THUMPD3,SCIN
,,,,,TCEA1,LGMN
,,,,,RIT1,UTP15
,,,,,SNAPC1,IFI30
,,,,,PMPCB,FAM196B
,,,,,SSBP1,DTWD1
,,,,,RAD50,NOTCH2
,,,,,GRPEL1,CERK
,,,,,REXO2,MTMR3
,,,,,HIST1H1C,CAMK2D
,,,,,PARL,RNF149
,,,,,RBM18,MAP2K7
,,,,,DNAJC14,ASAP1
,,,,,LMAN1,GRASP
,,,,,EIF2D,SH2B3
,,,,,FARSB,PHC2
,,,,,COG4,YPEL3
,,,,,COG2,CRTC3
,,,,,DPY30,NDUFV1
,,,,,ZDHHC6,FBXL20
,,,,,RAD18,BCL3
,,,,,IPP,LATS2
,,,,,INIP,KDM4B
,,,,,ERP44,ITGAE
,,,,,CYB5B,SNX18
,,,,,ACAT2,TMEM55B
,,,,,PEX19,ISCU
,,,,,ARPP19,JAK2
,,,,,TBCC,SGPP1
,,,,,SEPHS1,CCNG2
,,,,,ZBTB38,SLC25A33
,,,,,TARDBP,SWAP70
,,,,,HMGB1,FAS
,,,,,VMP1,IFT80
,,,,,CTCF,TBC1D22B
,,,,,NUDT16L1,TRAT1
,,,,,REEP4,SLAMF6
,,,,,SARS2,MYB
,,,,,ASRGL1,NSMCE1
,,,,,SDF2L1,TMEM243
,,,,,MRPL16,ZFP62
,,,,,ACOT8,SLAMF7
,,,,,LRRK1,NPEPPS
,,,,,ADAT3,KLF3
,,,,,DOHH,RAB2A
,,,,,GMPPB,MKRN1
,,,,,DRG2,WTAP
,,,,,NAGLU,KDM5B
,,,,,PAOX,RASSF2
,,,,,STX18,PCGF5
,,,,,GGH,SPRY1
,,,,,TAF6,OSBPL11
,,,,,EXOSC4,IKZF2
,,,,,HAUS5,RASGEF1B
,,,,,USF1,EIF3F
,,,,,FKBP2,CABLES1
,,,,,ALDH3A2,PINK1
,,,,,TSPAN4,POU2AF1
,,,,,MTG1,PIAS2
,,,,,ACTR10,TUBB2B
,,,,,CCDC127,PARP3
,,,,,,PIGH
,,,,,,CD19
,,,,,,CLN6
,,,,,,SLC2A6
,,,,,,SNTB1
,,,,,,GPR35
,,,,,,CACNB3
