C1_Macrophage_Beck,Lymphocyte_Calabro,TGFB_Teschendorf,CX_IFNG_Wolf,WoundHealing_Chang
CORO1A,CCL5,MMP3,IFI44,ZWILCH
MNDA,CD19,MARCKSL1,IFI44L,WSB2
CCRL2,CD37,IGF2R,DDX58,WDR77
SLC7A7,CD3D,LAMB1,IFI6,WDR54
HLA-DMA,CD3E,SPARC,IFI27,WDHD1
FYB,CD3G,FN1,IFIT2,VTA1
RNASE6,CD3Z,ITGA4,IFIT1,VDAC1
TLR2,CD79A,SMO,IFIT3,USPL1
CTSC,CD79B,MMP19,CXCL10,UQCR10
LILRB4,CD8A,ITGB8,MX1,UMPS
PSCDBP,CD8B1,ITGA5,OAS1,UBE2J1
CTSS,IGHG3,NID1,OAS2,UAP1
RASSF4,IGJ,TIMP1,OAS3,TUBG1
MSN,IGLC1,SEMA3F,HERC5,TUBA4A
CYBB,CD14,RHOQ,SAMD9,TRA2B
LAPTM5,LCK,CTNNB1,HERC6,TPRKB
DOCK2,LTB,MMP2,DDX60,TPM3
FCGR1A,MSA4A1,SERPINE1,RTP4,TPM2
EVI2B,,EPHB2,IFIH1,TPM1
ADCY7,,COL16A1,STAT1,TPI1
CD48,,EPHA2,TAP1,TOMM40
ARHGAP15,,TNC,OASL,TNFRSF12A
ARRB2,,JUP,RSAD2,TMEM130
SYK,,ITGA3,ISG15,TCEB1
BTK,,TCF7L2,STAT1,TAGLN
TNFAIP3,,COL3A1,,STRA13
FCGR2A,,CDH6,,STK17A
VSIG4,,WNT2B,,SRM
FPRL2,,ADAM9,,SPRYD7
IL10RA,,DSP,,SPAG17
IFI16,,HSPG2,,SNX17
ITGB2,,ARHGAP1,,SNRPE
IL7R,,ITGB5,,SNRPD1
TBXAS1,,IGFBP5,,SNRPC
FMNL1,,ARHGDIA,,SNRPB
FLI1,,LRP1,,SNRPA1
RASSF2,,IGFBP2,,SNRPA
LYZ,,CTNNA1,,SMURF2
CD163,,LRRC17,,SMS
CD97,,MMP14,,SMC2
CCL2,,NEO1,,SLC25A5
FCGR2B,,EFNA5,,SLC25A40
MERTK,,ITGB3,,SLC16A1
CD84,,EPHB3,,SKA2
CD53,,CD44,,SKA1
CD86,,IGFBP4,,SH3BP5L
HMHA1,,TNFRSF1A,,SDC1
CTSL,,RAC1,,SAR1B
EVI2A,,PXN,,SAR1A
TNFRSF1B,,PLAT,,RUVBL1
CXCR4,,COL8A1,,RPP40
LCP1,,WNT8B,,RPN1
SAMHD1,,IGFBP3,,RNF41
CPVL,,RHOA,,RNF138
HLA-DRB1,,EPHB4,,RMND5B
C13orf18,,MMP1,,RHOC
GIMAP4,,PAK1,,RGS8
SAMSN1,,MTA1,,RFC3
PLCG2,,THBS2,,RBM14
OSBPL3,,CSPG2,,RAB3B
CD8A,,MMP17,,PTPLB
RUNX3,,CD59,,PSMD2
FCGR3A,,DVL3,,PSMD14
AMPD3,,RHOB,,PSMD12
MYO1F,,COL6A3,,PSMC3
CECR1,,NOTCH2,,PSMA7
LYN,,BSG,,PPIH
MPP1,,MMP11,,POLR3K
LRMP,,COL1A2,,POLE2
FGL2,,ZYX,,PNO1
NCKAP1L,,RND3,,PNN
HCLS1,,THBS1,,PLOD2
SELL,,RHOG,,PLK4
CASP1,,ICAM1,,PLG
SELPLG,,LAMA4,,PLAUR
CD33,,DVL1,,PITPNC1
GPNMB,,PAK2,,PHF19
NCF2,,ITGB2,,PGM2
FNBP1,,COL6A1,,PFN1
IL18,,FGD1,,PFKP
B2M,,,,PDLIM7
SP140,,,,PDIA4
FCER1G,,,,PDAP1
LCP2,,,,PAICS
LY86,,,,PA2G4
LAIR1,,,,NUTF2
IFI30,,,,NUPL1
TNFSF13B,,,,NUP93
LST1,,,,NUP85
FGR,,,,NUP35
NPL,,,,NUP107
