"","N.IDC.mutations","N.IDC.neoant","N.IDC.rsSNPs","N.IDC.uniqueSites","N.IDC.sitesNeo","N.IDC.sitesdbSNP","PropNeoTotal","PropSitesNeo","PropdbSNP","N.IDC.patmut","N.IDC.patNeo","N.IDC.pat.rsSNP","Macrophage Regulation","Lymphocyte Infiltration Signature Score","IFN-gamma Response","Wound Healing","TGF-beta Response","N.DCIS.Mut","N.DCIS.Neo","N.DCIS.rsSNP"
"AKT1",3,2,0,3,2,0,0.666666666666667,0.666666666666667,0,3,2,0,NA,NA,NA,NA,NA,0,0,0
"CDH1",118,13,30,83,11,19,0.119266055045872,0.112449799196787,0.256880733944954,114,13,29,NA,NA,NA,NA,NA,0,0,0
"GATA3",104,9,36,43,6,7,0.109756097560976,0.127906976744186,0.182926829268293,99,7,36,0.35824254748142,NA,NA,NA,NA,4,4,1
"KMT2C",90,21,7,87,20,7,0.235955056179775,0.229885057471264,0.0786516853932584,71,19,7,NA,NA,NA,NA,NA,2,2,1
"MAP3K1",101,16,7,85,15,5,0.16,0.176470588235294,0.07,72,14,7,NA,NA,NA,NA,NA,0,0,0
"MUC16",146,83,16,146,83,16,0.568493150684932,0.568493150684932,0.10958904109589,100,67,13,NA,NA,NA,NA,NA,2,2,2
"PALB2",10,5,3,10,5,3,0.5,0.5,0.3,9,5,3,NA,NA,NA,NA,0.169707101865136,0,0,0
"PIK3CA",364,320,297,49,37,15,0.879120879120879,0.702478935490745,0.815934065934066,318,284,283,0.139796190224969,NA,NA,NA,0.11398064212232,6,4,6
"PTEN",38,11,8,30,11,6,0.314285714285714,0.35,0.2,35,11,8,NA,NA,NA,NA,NA,1,0,1
"TP53",316,168,148,118,63,52,0.567567567567568,0.468366626311542,0.493243243243243,302,160,144,0.197099093732355,NA,0.240919635798984,0.104982509881423,NA,5,5,3
"TTN",350,202,31,306,197,31,0.642857142857143,0.642156862745098,0.100649350649351,194,129,26,0.184024672852204,NA,NA,NA,NA,2,1,1
